Anisotropy	Interaction coefficient	L/L0	Weight norm L/L0	Collisions	Backscattered	Front	Undeflected	Mass	Photons absorbed	TIR	Avg max z coordinate	Iterations
0.6	1e-05	1.002270071421957	1.002270071421957	9.5e-06	3e-07	0.9999962	0.9999905	0.9999977	0.0	0.0008776	0.9999997	1.000000e+07
0.6	2e-05	1.003965797209544	1.003963070632324	1.9e-05	8e-07	0.9999929	0.9999811	0.999996295	0.0	0.0016503	0.9999992	1.000000e+07
0.6	3.0000000000000004e-05	1.0067639442835428	1.0067605845020275	2.99e-05	7e-07	0.9999884	0.9999702	0.999994395	0.0	0.0027265	0.9999993	1.000000e+07
0.6	4e-05	1.007817438185017	1.0078094169302183	4.03e-05	1.7e-06	0.9999861	0.9999602	0.9999921949999999	0.0	0.0031091	0.9999985	1.000000e+07
0.6	5e-05	1.0112094289540128	1.0112051550650372	5.03e-05	1.2e-06	0.9999816	0.9999503	0.9999904850000001	0.0	0.0046228	0.999999	1.000000e+07
0.6	6e-05	1.0097902698552064	1.0097783828901354	5.97e-05	3.3e-06	0.9999813	0.9999412	0.999988375	0.0	0.003749	0.999997	1.000000e+07
0.6	7.000000000000001e-05	1.0153669275614008	1.0153516484815122	7.3e-05	1.9e-06	0.9999734	0.9999281	0.9999871649999998	0.0	0.0057122	0.9999983	1.000000e+07
0.6	8e-05	1.016413018112016	1.0163928526013237	8.15e-05	2e-06	0.9999721	0.9999198	0.99998437	0.0	0.0063051	0.999998	1.000000e+07
0.6	9e-05	1.0203487524906574	1.020327176467056	9.78e-05	2.6e-06	0.9999649	0.9999034	0.9999814700000001	0.0	0.0073355	0.9999975	1.000000e+07
0.6	0.0001	1.0258729636660138	1.0257613007475352	0.000111	5e-06	0.999956	0.999894	0.9999777999999999	0.0	0.010697	0.999995	1.000000e+06
0.6	0.0001	1.0253234025074331	1.0252813122920368	0.000108	6e-06	0.999957	0.999893	0.99997	0.0	0.010594	0.999994	1.000000e+06
0.6	0.0002	1.0454552035021816	1.0453395386062092	0.000209	1.1e-05	0.999917	0.999804	0.9999576499999999	0.0	0.018672	0.999991	1.000000e+06
0.6	0.00030000000000000003	1.0668746633939108	1.0665811041840874	0.000323	1.3e-05	0.999882	0.999694	0.9999264999999997	0.0	0.025209	0.999988	1.000000e+06
0.6	0.0004	1.0842001701992008	1.0835563364253247	0.000429	1.8e-05	0.999851	0.999608	0.9999123524999999	0.0	0.029523	0.999988	1.000000e+06
