
g=0.9	Ut=10.0

0.0	0.10773729071895324
0.01	0.10175739433853237
0.02	0.07863836662759408
0.03	0.07003879651899787
0.04	0.06355680873505269
0.05	0.058005417938976546
0.06	0.052835346093901635
0.07	0.048145049553424385
0.08	0.04486305522591243
0.09	0.04102197090923738
0.1	0.03746416726657812
0.11	0.034227672630036496
0.12	0.028950928279809794
0.13	0.023699196575942983
0.14	0.022278574112700962
0.15	0.020382661957673662
0.16	0.0177309820974458
0.17	0.01591595270233291
0.18	0.01432838714052789
0.19	0.012578008655295098
0.2	0.011105097581332438
0.21	0.009862351808330052
0.22	0.008712157633269317
0.23	0.007687601111097414
0.24	0.006810053045000687
0.25	0.005987063424847759
0.26	0.005265498374678485
0.27	0.0048559498208405865
0.28	0.00443241748946789
0.29	0.0038461925000664713
0.3	0.00323579034758092
0.31	0.002882460551601372
0.32	0.002559376173496563
0.33	0.0022869328306863723
0.34	0.002042670783802533
0.35	0.0018135897975113762
0.36	0.001625466759776037
0.37	0.0014623959536158465
0.38	0.00137779216594577
0.39	0.0012515214604360884
0.4	0.0010989312498289705
0.41	0.0009912067596079637
0.42	0.0009127214110220448
0.43	0.000817745921706653
0.44	0.0007507100469317981
0.45	0.0007098942465025629
0.46	0.0005476619339807861
0.47	0.00043950977429582216
0.48	0.0003907364192552483
0.49	0.00029684245263359116
0.5	0.00024515760130658956
0.51	0.00022097773894981282
0.52	0.00019918597830770633
0.53	0.00017954565477051664
0.54	0.00016183042910002617
0.55	0.00014590339241686082
0.56	0.00013172405227838803
0.57	0.00011871511376051192
0.58	0.00010699056445203357
0.59	9.62066600039196e-05
0.6	8.65821865489428e-05
0.61	7.808259094928025e-05
0.62	7.041801767005099e-05
0.63	6.350636780645834e-05
0.64	5.7273620851973136e-05
0.65	5.038507488337635e-05
0.66	3.9302858392061144e-05
0.67	3.0392754858386193e-05
0.68	2.4660323324412468e-05
0.69	2.2268190363204052e-05
0.7	2.010813160015998e-05
0.71	1.8157629357589832e-05
0.72	1.6396351079975303e-05
0.73	1.4805937261932336e-05
0.74	1.3369809960981054e-05
0.75	1.2072999896798776e-05
0.76	1.0901990332648801e-05
0.77	9.844576109855948e-06
0.78	8.88973636436771e-06
0.79	8.027519597249901e-06
0.8	5.3324067312214686e-06
0.81	3.916824931838463e-06
0.82	3.540434758823064e-06
0.83	3.200214097783527e-06
0.84	9.275986282349928e-07
0.85	7.455138144715613e-07
0.86	6.739604645606424e-07
0.87	6.0927470286082e-07
0.88	5.507973880754822e-07
0.89	4.979326423471674e-07
0.9	4.5014177932313367e-07
0.91	4.0693781499651364e-07
0.92	8.83626793773766e-08
