Anisotropy	Interaction coefficient	L/L0	Collisions	Backscattered	Undeflected	Mass	Anisotropy	Interaction coefficient	L/L0	Collisions	Backscattered	Undeflected	Mass	Absorption = 0
0.9	1.00E-05	1.000616154	1.40E-05	0	0.999986	0.999999								
0.9	2.00E-05	1.00061579	1.40E-05	0	0.999986	1								
0.9	3.00E-05	1.000589711	4.00E-05	1.00E-06	0.99996	0.999999								
0.9	4.00E-05	1.004019337	5.20E-05	1.00E-06	0.999948	0.999997								
0.9	5.00E-05	1.001639397	5.70E-05	0	0.999943	0.999998								
0.9	6.00E-05	1.00321461	7.00E-05	0	0.99993	0.999998								
0.9	7.00E-05	1.003376524	6.40E-05	2.00E-06	0.999936	0.999997								
0.9	8.00E-05	1.002488131	7.50E-05	0	0.999925	0.999998								
0.9	9.00E-05	1.004856513	8.80E-05	0	0.999912	0.999995								
0.9	0.0001	1.004497134	9.30E-05	0	0.999908	0.999996								
0.9	0.0001	1.005476289	0.000102	1.00E-06	0.999898	0.999995								
0.9	0.0002	1.007566702	0.000186	0	0.999815	0.999994								
0.9	0.0003	1.011999254	0.000337	2.00E-06	0.999666	0.999986								
0.9	0.0004	1.014964643	0.000444	4.00E-06	0.999563	0.999983								
0.9	0.0005	1.022669592	0.000493	3.00E-06	0.999521	0.999976								
0.9	0.0006	1.023875055	0.000574	3.00E-06	0.999434	0.999978								
0.9	0.0007	1.023072842	0.000698	4.00E-06	0.999316	0.99998								
0.9	0.0008	1.034469384	0.000795	3.00E-06	0.999235	0.99997								
0.9	0.0009	1.036562681	0.000935	7.00E-06	0.999103	0.999968								
0.9	0.001	1.044906248	0.001028	1.00E-05	0.99902	0.999952								
0.9	0.001	1.05195605	0.001057	8.00E-06	0.999006	0.999948								
0.9	0.002	1.094590624	0.002227	2.80E-05	0.997971	0.999909								
0.9	0.003	1.129702192	0.00337	4.30E-05	0.997086	0.999857								
0.9	0.004	1.165071971	0.004639	6.20E-05	0.996074	0.999823								
0.9	0.005	1.211123635	0.006079	7.30E-05	0.995042	0.999792								
0.9	0.006	1.22786623	0.007292	9.60E-05	0.994096	0.999756								
0.9	0.007	1.263530481	0.008755	0.000149	0.993126	0.9997								
0.9	0.008	1.268376934	0.01008	0.000159	0.992047	0.999682								
0.9	0.009	1.305053775	0.011916	0.000191	0.990953	0.999624								
0.9	0.01	1.331863263	0.013166	0.000195	0.990234	0.999623								
0.9	0.01	1.322927268	0.013309	0.000248	0.99012	0.999579								
0.9	0.02	1.540483961	0.031121	0.000619	0.980097	0.999176								
0.9	0.03	1.659612311	0.050277	0.00105	0.970377	0.99877								
0.9	0.04	1.708920746	0.068929	0.001508	0.960768	0.998391								
0.9	0.05	1.740991503	0.087757	0.002032	0.951321	0.997907								
0.9	0.06	1.78536312	0.10906	0.002433	0.941478	0.997519								
0.9	0.07	1.780084238	0.126883	0.002837	0.932558	0.997146								
0.9	0.08	1.762148579	0.14352	0.003246	0.923249	0.996732								
0.9	0.09	1.783688922	0.164486	0.003731	0.913669	0.996248								
0.9	0.1	1.745550665	0.178502	0.00413	0.90511	0.995868								
0.9	0.1	1.777717632	0.183096	0.004229	0.904543	0.995767								
0.9	0.2	1.758002014	0.368496	0.008522	0.818885	0.991477								
0.9	0.3	1.752121547	0.562242	0.012818	0.741041	0.987182								
0.9	0.4	1.761669333	0.765858	0.017255	0.670598	0.982745								
0.9	0.5	1.741882972	0.962146	0.021754	0.606523	0.978246								
0.9	0.6	1.744311553	1.167695	0.026323	0.550065	0.973677								
0.9	0.7	1.758492878	1.387357	0.031075	0.49615	0.968925								
0.9	0.8	1.775671303	1.6105	0.03539	0.44954	0.96461								
0.9	0.9	1.780903012	1.829754	0.040277	0.407063	0.959723								
0.9	1	1.793275457	2.054095	0.045067	0.368891	0.954933								
0.9	1	1.786214999	2.04896	0.044575	0.368835	0.955425								
0.9	2	1.986992476	4.568798	0.09199	0.1351	0.90801								
0.9	3	2.217445898	7.451319	0.136892	0.04943	0.863108								
0.9	4	2.44119779	10.67171	0.178977	0.018224	0.821023								
0.9	5	2.634890636	14.131223	0.216556	0.006691	0.783444								
0.9	6	2.784110664	17.679101	0.249589	0.00254	0.750411								
0.9	7	2.911787384	21.374781	0.277708	0.000916	0.722292								
0.9	8	3.015600793	25.117978	0.303949	0.000343	0.696051								
0.9	9	3.100104001	28.903024	0.327475	0.000109	0.672525								
0.9	10	3.164257723	32.636459	0.347448	4.50E-05	0.652552								
0.9	10	3.167864239	32.684727	0.348163	6.00E-05	0.651837								
0.9	20	3.469929482	70.400759	0.488581	0	0.511419								
0.9	30	3.565269235	107.956711	0.57506	0	0.42494								
0.9	40	3.610228279	145.440895	0.634633	0	0.365367								
0.9	50	3.646717386	183.338252	0.680386	0	0.319614								
0.9	60													
