
g=0.1	Ut=10.0

0.01	3.100798099997359
0.02	3.263943310321204
0.03	3.3842951544729343
0.04	3.492885457583016
0.05	3.573512507916858
0.06	3.641616510519682
0.07	3.6955973338898174
0.08	3.722695363836812
0.09	3.730701763311298
0.1	3.7494839013826264
0.11	3.769157980196601
0.12	3.7563553693190763
0.13	3.737734758855487
0.14	3.737646929917197
0.15	3.718867623911192
0.16	3.692335878519354
0.17	3.6838810082711517
0.18	3.6515821658308023
0.19	3.63779252122408
0.2	3.598533822637603
0.21	3.583464367238084
0.22	3.5449480479629467
0.23	3.5213981329800603
0.24	3.497243958541362
0.25	3.4516312777433145
0.26	3.4039955931014965
0.27	3.38082249828272
0.28	3.344637158674749
0.29	3.304361705739059
0.3	3.2647354907478245
0.31	3.222988836008776
0.32	3.17642802148342
0.33	3.1430411566050998
0.34	3.1035720889398175
0.35	3.0561837841469432
0.36	3.016771272335893
0.37	2.9730752724444787
0.38	2.944098635279097
0.39	2.9104620321612806
0.4	2.855244884620544
0.41	2.8133470703625947
0.42	2.783269298043036
0.43	2.7252393370220926
0.44	2.6818104839958794
0.45	2.625407572277887
0.46	2.5923405201401604
0.47	2.5449983563889855
0.48	2.487220633571874
0.49	2.4408943813762116
0.5	2.4082894491497044
0.51	2.359119711093288
0.52	2.311416922769641
0.53	2.2651511631268124
0.54	2.230212846139728
0.55	2.1870117080835545
0.56	2.1470462764607645
0.57	2.100025935043074
0.58	2.0527440327879183
0.59	2.0215902806720263
0.6	1.983618003850173
0.61	1.9408319910707827
0.62	1.8939124244708085
0.63	1.833145282320874
0.64	1.8147151738796283
0.65	1.7679256338742817
0.66	1.717006918906449
0.67	1.6719012816683871
0.68	1.635222971024793
0.69	1.5878663365050345
0.7	1.5523463637379644
0.71	1.5060832352602809
0.72	1.4670000773033565
0.73	1.418055058813408
0.74	1.3921151335707376
0.75	1.3553241192183931
0.76	1.3142230783808362
0.77	1.2739089353167667
0.78	1.2250418668015346
0.79	1.184525326846713
0.8	1.1377923236995044
0.81	1.0957670469926113
0.82	1.0491433987718046
0.83	1.0070193154469305
0.84	0.9631917304353975
0.85	0.9253604168122861
0.86	0.8902605412024924
0.87	0.8511076679244511
0.88	0.8141682388672815
0.89	0.7611270480235712
0.9	0.7170228090767101
0.91	0.6752921329554221
0.92	0.6283121308081872
0.93	0.5906539808246086
0.94	0.5376050456738513
0.95	0.5029623735012703
0.96	0.4551277367173422
0.97	0.4095568070815834
0.98	0.36466391828135253
0.99	0.30283632987814024
