
g=0.9	Ut=10.0

0.0	0.09629851562029891
0.01	0.08888377932831494
0.02	0.08084799256652239
0.03	0.07343224436007614
0.04	0.0662981957128438
0.05	0.060021282322250756
0.06	0.054177642285465316
0.07	0.04887780483404068
0.08	0.0439111585310447
0.09	0.03957451147353257
0.1	0.03558013655761367
0.11	0.03202845887457892
0.12	0.028806624848590787
0.13	0.025801869171051744
0.14	0.023144426528101825
0.15	0.020757743875556685
0.16	0.018590158977687343
0.17	0.01664865450541098
0.18	0.014948654595174984
0.19	0.013382194015632549
0.2	0.011974287067526741
0.21	0.010698376022020197
0.22	0.009561728878373374
0.23	0.008548964713708957
0.24	0.00763333729897701
0.25	0.006820102589956663
0.26	0.006077165378332716
0.27	0.005421130323553633
0.28	0.004827075092958285
0.29	0.00430917928028645
0.3	0.003845401597908685
0.31	0.0034267589150227045
0.32	0.0030448610428117006
0.33	0.0027078804008680794
0.34	0.0024107423192483617
0.35	0.0021504588863180464
0.36	0.0019116990324502948
0.37	0.001697099750592987
0.38	0.0015095307626568455
0.39	0.0013416653103102366
0.4	0.0011907574179141416
0.41	0.0010586771001389631
0.42	0.0009427570167619734
0.43	0.0008342985163292897
0.44	0.0007414648262943447
0.45	0.0006594705634111814
0.46	0.0005848679190667457
0.47	0.0005201056906679348
0.48	0.00046152063464579136
0.49	0.000409223271441332
0.5	0.00036254805677370653
0.51	0.0003213718614981743
0.52	0.00028599677783829535
0.53	0.00025342490559415173
0.54	0.00022388297151083227
0.55	0.00019826982907924593
0.56	0.00017615780710530956
0.57	0.00015624896076036097
0.58	0.00013870479001131444
0.59	0.00012314343631843674
0.6	0.00010871086177299627
0.61	9.632285532394697e-05
0.62	8.552569847947546e-05
0.63	7.561295150087173e-05
0.64	6.718408231384813e-05
0.65	5.943444572191216e-05
0.66	5.2392492682156576e-05
0.67	4.6488499852013777e-05
0.68	4.117505425627524e-05
0.69	3.6577133935877084e-05
0.7	3.224185561858988e-05
0.71	2.8369780898519573e-05
0.72	2.496363268923961e-05
0.73	2.2055882508270845e-05
0.74	1.96010764839024e-05
0.75	1.7535934174420542e-05
0.76	1.5355012252081116e-05
0.77	1.3538464489620659e-05
0.78	1.1990153793555658e-05
0.79	1.067920793721643e-05
0.8	9.423365074210877e-06
0.81	8.341553231155645e-06
0.82	7.3674634967507845e-06
0.83	6.49075318747097e-06
0.84	5.7017036647664536e-06
0.85	5.010417945412375e-06
0.86	4.404408649110517e-06
0.87	3.913805317673813e-06
0.88	3.5311621590081936e-06
0.89	3.1950310010607543e-06
0.9	2.899641801343603e-06
0.91	2.4930992601138156e-06
0.92	2.141193891314703e-06
0.93	1.8729938842234453e-06
0.94	1.6507908346967138e-06
0.95	1.509167126275904e-06
0.96	1.2822885150075858e-06
0.97	1.1339439618352126e-06
0.98	9.84942245637599e-07
0.99	8.547198705908129e-07
1.0	0.0

g=0.9	Ut=10.0

0.0	0.09637432034116415
0.01	0.08892012705011794
0.02	0.08075205222510125
0.03	0.07328817981701953
0.04	0.06629979768523704
0.05	0.06001730561516029
0.06	0.05414070371581842
0.07	0.04895652445356961
0.08	0.04402306829411156
0.09	0.03954999606742036
0.1	0.03559937092898163
0.11	0.032006265198166496
0.12	0.02878437747846429
0.13	0.025878176192256557
0.14	0.023212460617832685
0.15	0.0208154304113781
0.16	0.01863769857999269
0.17	0.016684221301690217
0.18	0.01493904462115956
0.19	0.013358193822091698
0.2	0.011955930036472209
0.21	0.010679341681321487
0.22	0.00955765282489999
0.23	0.00853267947190624
0.24	0.007625311304262701
0.25	0.006802607642854353
0.26	0.006082960146413618
0.27	0.005427779105288651
0.28	0.004839293505167178
0.29	0.004316377468836563
0.3	0.0038467048831234145
0.31	0.003424569497389378
0.32	0.0030408833360960207
0.33	0.00271213611271709
0.34	0.0024100974396202334
0.35	0.002146972352379406
0.36	0.0019112942195630054
0.37	0.0016988464350041808
0.38	0.0015086488578292102
0.39	0.0013401347931542508
0.4	0.0011942891683987358
0.41	0.0010607233044247568
0.42	0.0009406956655947244
0.43	0.0008354269638815904
0.44	0.0007425738499855943
0.45	0.0006588299099531324
0.46	0.0005847285223137812
0.47	0.0005207380591206191
0.48	0.00046304994298821897
0.49	0.0004102363136455323
0.5	0.00036431544940733105
0.51	0.00032343729018700706
0.52	0.0002874415802841344
0.53	0.0002550479505836422
0.54	0.00022610240756210128
0.55	0.0002001095268282696
0.56	0.00017763456486871365
0.57	0.00015773249805860852
0.58	0.00013982221545384748
0.59	0.0001236901293783715
0.6	0.00010909310085643806
0.61	9.717214152237104e-05
0.62	8.586848614449174e-05
0.63	7.626615921808372e-05
0.64	6.811742881764639e-05
0.65	5.959073335261592e-05
0.66	5.2592895606658626e-05
0.67	4.644228677117282e-05
0.68	4.121631291227748e-05
0.69	3.633617069636744e-05
0.7	3.2216333442351724e-05
0.71	2.862347159044059e-05
0.72	2.528163664837243e-05
0.73	2.222139110725878e-05
0.74	1.9762944854799566e-05
0.75	1.7353276398923068e-05
0.76	1.5393403321888318e-05
0.77	1.3677769853167678e-05
0.78	1.2193262273524167e-05
0.79	1.0756214780173019e-05
0.8	9.456542299571975e-06
0.81	8.439197071228788e-06
0.82	7.423757394672151e-06
0.83	6.598301022906635e-06
0.84	5.85528019112714e-06
0.85	5.211075265999584e-06
0.86	4.597635505890617e-06
0.87	4.102830818724385e-06
0.88	3.634807843105025e-06
0.89	3.2292105253132666e-06
0.9	2.851255636477805e-06
0.91	2.5505062203661407e-06
0.92	2.2325996940921906e-06
0.93	1.9429426856648406e-06
0.94	1.7417880277700415e-06
0.95	1.5096893422823699e-06
0.96	1.3437711929220064e-06
0.97	1.207354243053718e-06
0.98	1.0054882332047056e-06
0.99	8.680374885058699e-07
1.0	0.0

g=0.9	Ut=10.0

0.0	0.09640984857163588
0.01	0.08891743821451613
0.02	0.08082467026585413
0.03	0.07329886386622
0.04	0.0663732727170173
0.05	0.059998370235912694
0.06	0.05415243294164226
0.07	0.04884625545099994
0.08	0.04401966072361009
0.09	0.03964075610815981
0.1	0.035657894174175
0.11	0.03204110122536608
0.12	0.028789975695254207
0.13	0.0258543940909999
0.14	0.023183880513169105
0.15	0.02078343400057973
0.16	0.018623768670150476
0.17	0.016688191762203177
0.18	0.014929042760227123
0.19	0.013358127073267048
0.2	0.0119515303467214
0.21	0.010687190959721914
0.22	0.009547790697468042
0.23	0.008524453198760018
0.24	0.007609919763125895
0.25	0.006794228807868973
0.26	0.006061328157867961
0.27	0.005407700321395521
0.28	0.004822185325093002
0.29	0.004297175580066054
0.3	0.003830486146126723
0.31	0.0034091267881319076
0.32	0.003035932451814415
0.33	0.002703019349924089
0.34	0.002405396035218608
0.35	0.002142397630339466
0.36	0.0019059696505457568
0.37	0.00169516262229804
0.38	0.001506840021373509
0.39	0.0013397528668287206
0.4	0.001191140630899052
0.41	0.0010587180054482924
0.42	0.0009409854191615571
0.43	0.0008355132922465096
0.44	0.0007423231658591725
0.45	0.0006588732035154375
0.46	0.0005845885624496737
0.47	0.0005189245679344165
0.48	0.00046061126785525006
0.49	0.00040875185827302
0.5	0.0003627293076143203
0.51	0.0003217315510629529
0.52	0.0002855271433320349
0.53	0.0002531913655037319
0.54	0.00022441014106309111
0.55	0.00019901230288210306
0.56	0.00017646139574736046
0.57	0.000156351119627353
0.58	0.00013853105076198091
0.59	0.00012278084012154597
0.6	0.00010872920068701245
0.61	9.631037356936708e-05
0.62	8.543559815949749e-05
0.63	7.565971808349065e-05
0.64	6.699625898052831e-05
0.65	5.9369322071565916e-05
0.66	5.254994580031292e-05
0.67	4.658478808413042e-05
0.68	4.1218463248526626e-05
0.69	3.637872854084271e-05
0.7	3.208128814187577e-05
0.71	2.843568858972711e-05
0.72	2.5225411689991014e-05
0.73	2.235630003049412e-05
0.74	1.9789994647902503e-05
0.75	1.746141743323948e-05
0.76	1.5426376260221067e-05
0.77	1.3640605988675308e-05
0.78	1.2071533704526211e-05
0.79	1.0706206088338139e-05
0.8	9.422522001528668e-06
0.81	8.36619780789522e-06
0.82	7.380474141044663e-06
0.83	6.531237090854105e-06
0.84	5.77285816108802e-06
0.85	5.0988159343334275e-06
0.86	4.4761269414705704e-06
0.87	3.970223406843281e-06
0.88	3.510498954633977e-06
0.89	3.1005120410729466e-06
0.9	2.71015790893512e-06
0.91	2.3859746942882678e-06
0.92	2.103274640700588e-06
0.93	1.8656921620996885e-06
0.94	1.6342501594975208e-06
0.95	1.4286597399810329e-06
0.96	1.2662129159873852e-06
0.97	1.118355144428193e-06
0.98	9.77007095625955e-07
0.99	8.500861967169952e-07
1.0	0.0

g=0.9	Ut=10.0

0.0	0.09646142054919053
0.01	0.08891073561137007
0.02	0.0808545479199635
0.03	0.07328600814547723
0.04	0.06634794516474203
0.05	0.05996140771366881
0.06	0.05415239978748597
0.07	0.0488696747287776
0.08	0.044013974210126004
0.09	0.03962303814133147
0.1	0.03564308884617486
0.11	0.03203749165604703
0.12	0.02877133236836079
0.13	0.025825158972226037
0.14	0.023166058173468854
0.15	0.02076827675415294
0.16	0.018611892099921912
0.17	0.016669607332637608
0.18	0.014919334780603814
0.19	0.013351182351163284
0.2	0.011943232741149156
0.21	0.010675970412038929
0.22	0.009540284329090112
0.23	0.008523382779032408
0.24	0.007611557216291713
0.25	0.006794542366890837
0.26	0.006066451925819213
0.27	0.005408200286477497
0.28	0.004819823283595739
0.29	0.004295960126650568
0.3	0.0038274083289081737
0.31	0.003410273062695904
0.32	0.0030380445044412177
0.33	0.0027049598948452962
0.34	0.0024072499935778816
